listing_id,neighbourhood_cleansed,latitude,longitude,property_type,price
9452237,Ditmars Steinway,40.7758795,-73.90781576,House,130
13492036,Ditmars Steinway,40.77231318,-73.90793318,Apartment,75
2440357,Ditmars Steinway,40.776689,-73.91150613,Apartment,180
17382781,Ditmars Steinway,40.7736718,-73.91516951,Apartment,70
5127571,Ditmars Steinway,40.77362743,-73.90049839,Apartment,36
16179103,Ditmars Steinway,40.78296556,-73.912583,Apartment,60
4211510,Ditmars Steinway,40.7698941,-73.90735403,House,50
4934421,Ditmars Steinway,40.77377028,-73.90801283,Apartment,65
6441936,Ditmars Steinway,40.77707358,-73.90710192,House,84
2051499,Ditmars Steinway,40.77568856,-73.91275062,Apartment,115
5328633,Ditmars Steinway,40.77530359,-73.902732,House,225
20927619,Ditmars Steinway,40.77511123,-73.90637102,House,60
4645841,Ditmars Steinway,40.77741802,-73.91561388,Apartment,129
11098211,Ditmars Steinway,40.7773992,-73.91078851,Apartment,165
20928742,Ditmars Steinway,40.77166067,-73.90962479,Townhouse,49
876792,Ditmars Steinway,40.77093144,-73.91725775,Apartment,69
11624694,Ditmars Steinway,40.77535647,-73.90781307,Apartment,120
20996996,Ditmars Steinway,40.7761774,-73.91741153,Apartment,75
3499016,Ditmars Steinway,40.77901671,-73.90767672,House,100
5728500,Ditmars Steinway,40.77842454,-73.9099364,Apartment,58
3835681,Ditmars Steinway,40.77478202,-73.91912899,Apartment,50
12814991,Ditmars Steinway,40.77423452,-73.90714958,Apartment,159
8096877,Ditmars Steinway,40.77374424,-73.90771348,Apartment,89
20942352,Ditmars Steinway,40.77863548,-73.91444711,Apartment,47
8507328,Ditmars Steinway,40.77259195,-73.91459012,House,50
21023313,Ditmars Steinway,40.7771237,-73.91053192,Apartment,49
12630490,Ditmars Steinway,40.77720184,-73.90897464,House,135
20674263,Ditmars Steinway,40.7788254,-73.91666684,Apartment,60
10136508,Ditmars Steinway,40.77575443,-73.91419323,Apartment,45
308148,Ditmars Steinway,40.7820692,-73.91582564,Apartment,70
14856378,Ditmars Steinway,40.77513265,-73.92414431,Apartment,153
7385692,Ditmars Steinway,40.77742122,-73.90965026,Apartment,85
9351013,Ditmars Steinway,40.77627158,-73.9096282,Apartment,89
9595836,Ditmars Steinway,40.76982126,-73.90762031,House,90
15641528,Ditmars Steinway,40.77480759,-73.91260512,Apartment,120
13543975,Ditmars Steinway,40.77414926,-73.91863494,Apartment,75
16427245,Ditmars Steinway,40.77492164,-73.90866404,Apartment,70
11968958,Ditmars Steinway,40.77871683,-73.91395501,Apartment,78
6168880,Ditmars Steinway,40.77804607,-73.91520557,Apartment,215
19309654,Ditmars Steinway,40.77367639,-73.91507463,Other,90
6595943,Ditmars Steinway,40.76961944,-73.89603865,Apartment,99
6071500,Ditmars Steinway,40.77511167,-73.8986607,House,250
8953050,Ditmars Steinway,40.77986766,-73.90308693,House,75
12998169,Ditmars Steinway,40.77832287,-73.91995491,Apartment,125
20223030,Ditmars Steinway,40.77635658,-73.91263478,Apartment,105
6706703,Ditmars Steinway,40.77582657,-73.91309702,Apartment,50
15126483,Ditmars Steinway,40.77004634,-73.91011399,Apartment,70
16945254,Ditmars Steinway,40.77534729,-73.90930839,Apartment,99
577324,Ditmars Steinway,40.7696101,-73.90451495,Apartment,54
16027061,Ditmars Steinway,40.7793726,-73.91553218,Apartment,250
7637901,Ditmars Steinway,40.77647594,-73.90987372,Apartment,70
19179997,Ditmars Steinway,40.7765944,-73.92172932,Apartment,73
